Name,GivenName,Surname,SamAccountName,UserPrincipalName,Email,Office,Department,Title,StreetAddress,Phone,Manager
Toni Karhu,Toni,Karhu,tonikarhu,toni.karhu@example.com,toni.karhu@example.com,Lahti,Johto,Johtaja,"Porinbulevardi 9, Lahti",094 301 4190,Maria Koskinen-Heinonen
Kaarina Kortelainen,Kaarina,Kortelainen,kaarinakortelainen,kaarina.kortelainen@example.com,kaarina.kortelainen@example.com,Lahti,Johto,Johtaja,"Veropellontie 62, Lahti",+358752276682,Maria Koskinen-Heinonen
Jalmari Karjalainen,Jalmari,Karjalainen,jalmarikarjalainen,jalmari.karjalainen@example.com,jalmari.karjalainen@example.com,Lahti,Johto,Johtaja,"Yhteiskoulunkuja 7, Lahti",021 837 8015,Maria Koskinen-Heinonen
Antti Nurmi,Antti,Nurmi,anttinurmi,antti.nurmi@example.com,antti.nurmi@example.com,Lahti,Johto,Johtaja,"Santerlantie 5, Lahti",(+358) 422906005,Maria Koskinen-Heinonen
Ilmari Rajala,Ilmari,Rajala,ilmarirajala,ilmari.rajala@example.com,ilmari.rajala@example.com,Lahti,Johto,Johtaja,"Biologinkuja 317, Lahti",+358 445183825,Maria Koskinen-Heinonen
Ari Ojanen,Ari,Ojanen,ariojanen,ari.ojanen@example.com,ari.ojanen@example.com,Lahti,Johto,Johtaja,"Elonbulevardi 086, Lahti",+358 539992505,Maria Koskinen-Heinonen
Harri Huotari,Harri,Huotari,harrihuotari,harri.huotari@example.com,harri.huotari@example.com,Lahti,Johto,Johtaja,"Nordenskiöldinbulevardi 0, Lahti",+358 613979122,Maria Koskinen-Heinonen
Juhani Kilpeläinen,Juhani,Kilpeläinen,juhanikilpelainen,juhani.kilpelainen@example.com,juhani.kilpelainen@example.com,Lahti,Johto,Johtaja,"Ahvenkoskenpolku 204, Lahti",0441761052,Maria Koskinen-Heinonen
Oliver Salonen-Nykänen,Oliver,Salonen-Nykänen,oliversalonennykanen,oliver.salonennykanen@example.com,oliver.salonennykanen@example.com,Lahti,Johto,Johtaja,"Winqvistinpolku 3, Lahti",0204668328,Maria Koskinen-Heinonen
Ville Jansson,Ville,Jansson,villejansson,ville.jansson@example.com,ville.jansson@example.com,Lahti,Johto,Johtaja,"Yläkaskenbulevardi 609, Lahti",+358 32 2404296,Maria Koskinen-Heinonen
Aila Nikula,Aila,Nikula,ailanikula,aila.nikula@example.com,aila.nikula@example.com,Lahti,Taloushallinto,Talouspäällikkö,"Bengalinkatu 3, Lahti",+358627915823,Leevi Partanen
Kari Peltola-Hannula,Kari,Peltola-Hannula,karipeltolahannula,kari.peltolahannula@example.com,kari.peltolahannula@example.com,Lahti,Taloushallinto,Palkanlaskija,"Eino Leinon kuja 3, Lahti",+358 428881338,Aila Nikula
Marjukka Lähteenmäki,Marjukka,Lähteenmäki,marjukkalahteenmaki,marjukka.lahteenmaki@example.com,marjukka.lahteenmaki@example.com,Lahti,Taloushallinto,Palkanlaskija,"Haahkapolku 5, Lahti",(+358) 310060530,Aila Nikula
Elisabeth Taskinen-Ojala,Elisabeth,Taskinen-Ojala,elisabethtaskinenojala,elisabeth.taskinenojala@example.com,elisabeth.taskinenojala@example.com,Lahti,Taloushallinto,Palkanlaskija,"Fallkullanpolku 256, Lahti",+358 484370053,Aila Nikula
Maria Salminen,Maria,Salminen,mariasalminen,maria.salminen@example.com,maria.salminen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Jäkäläpolku 38, Lahti",+358 100233594,Aila Nikula
Marja Laine,Marja,Laine,marjalaine,marja.laine@example.com,marja.laine@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Taimistonpolku 68, Lahti",(+358) 845514831,Aila Nikula
Esteri Kivinen,Esteri,Kivinen,esterikivinen,esteri.kivinen@example.com,esteri.kivinen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Immolanbulevardi 3, Lahti",+358 778094161,Aila Nikula
Helena Rantanen,Helena,Rantanen,helenarantanen,helena.rantanen@example.com,helena.rantanen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Walentin Chorellin polku 3, Lahti",0814631947,Aila Nikula
Jouko Miettinen,Jouko,Miettinen,joukomiettinen,jouko.miettinen@example.com,jouko.miettinen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Porkkalantie 2, Lahti",(+358) 369900153,Aila Nikula
Marjatta Vuorinen,Marjatta,Vuorinen,marjattavuorinen,marjatta.vuorinen@example.com,marjatta.vuorinen@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Ylipalonpolku 242, Lahti",061 426 6114,Aila Nikula
Johannes Salonen,Johannes,Salonen,johannessalonen,johannes.salonen@example.com,johannes.salonen@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Uskalikontie 914, Lahti",(+358) 624973847,Aila Nikula
Laura Nieminen-Laukkanen,Laura,Nieminen-Laukkanen,lauranieminenlaukkanen,laura.nieminenlaukkanen@example.com,laura.nieminenlaukkanen@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Jänkäbulevardi 839, Lahti",+358981386290,Aila Nikula
Pekka Piirainen,Pekka,Piirainen,pekkapiirainen,pekka.piirainen@example.com,pekka.piirainen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Louhikkotie 71, Lahti",+358 03 1343124,Aila Nikula
Elisa Mäkinen-Nieminen,Elisa,Mäkinen-Nieminen,elisamakinennieminen,elisa.makinennieminen@example.com,elisa.makinennieminen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Jälsitie 465, Lahti",0074789535,Aila Nikula
Anna Kivinen,Anna,Kivinen,annakivinen,anna.kivinen@example.com,anna.kivinen@example.com,Lahti,Henkilöstöhallinto,HR-päällikkö,"Willebrandinbulevardi 6, Lahti",072 958 2884,Leevi Partanen
Aleksandra Miettinen,Aleksandra,Miettinen,aleksandramiettinen,aleksandra.miettinen@example.com,aleksandra.miettinen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Lautamiehentie 858, Lahti",+358528518405,Anna Kivinen
Heikki Hiltunen,Heikki,Hiltunen,heikkihiltunen,heikki.hiltunen@example.com,heikki.hiltunen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Maneesikuja 88, Lahti",(+358) 596413521,Anna Kivinen
Marjatta Toivonen-Korpi,Marjatta,Toivonen-Korpi,marjattatoivonenkorpi,marjatta.toivonenkorpi@example.com,marjatta.toivonenkorpi@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Puroniityntie 4, Lahti",+358622240888,Anna Kivinen
Eeva Laakso-Mäkinen,Eeva,Laakso-Mäkinen,eevalaaksomakinen,eeva.laaksomakinen@example.com,eeva.laaksomakinen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Lautamiehenkuja 507, Lahti",+358 717438027,Anna Kivinen
Tarja Makkonen,Tarja,Makkonen,tarjamakkonen,tarja.makkonen@example.com,tarja.makkonen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Verkkobulevardi 103, Lahti",007 387 7030,Anna Kivinen
Ilkka Virtanen-Laiho,Ilkka,Virtanen-Laiho,ilkkavirtanenlaiho,ilkka.virtanenlaiho@example.com,ilkka.virtanenlaiho@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Ilomäenbulevardi 040, Lahti",003 965 7249,Anna Kivinen
Oskari Henriksson,Oskari,Henriksson,oskarihenriksson,oskari.henriksson@example.com,oskari.henriksson@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Puuskapolku 3, Lahti",064 284 7166,Anna Kivinen
Tuula Keränen-Aalto,Tuula,Keränen-Aalto,tuulakeranenaalto,tuula.keranenaalto@example.com,tuula.keranenaalto@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Tuohikoivunpolku 202, Lahti",0344565624,Anna Kivinen
Reijo Aaltonen,Reijo,Aaltonen,reijoaaltonen,reijo.aaltonen@example.com,reijo.aaltonen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Harbonkuja 5, Lahti",025 929 0868,Anna Kivinen
Ensio Välimäki-Jansson,Ensio,Välimäki-Jansson,ensiovalimakijansson,ensio.valimakijansson@example.com,ensio.valimakijansson@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Jänkäkuja 5, Lahti",+358311336236,Anna Kivinen
Irmeli Huttunen,Irmeli,Huttunen,irmelihuttunen,irmeli.huttunen@example.com,irmeli.huttunen@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Rapolankuja 34, Lahti",(+358) 580286965,Anna Kivinen
Nina Holmberg-Tuomi,Nina,Holmberg-Tuomi,ninaholmbergtuomi,nina.holmbergtuomi@example.com,nina.holmbergtuomi@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Tahtikatu 77, Lahti",+358 787994879,Anna Kivinen
Rainer Lehtonen,Rainer,Lehtonen,rainerlehtonen,rainer.lehtonen@example.com,rainer.lehtonen@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Dunckerinpolku 06, Lahti",(+358) 503218680,Anna Kivinen
Aulikki Pulkkinen,Aulikki,Pulkkinen,aulikkipulkkinen,aulikki.pulkkinen@example.com,aulikki.pulkkinen@example.com,Lahti,IT-Tuki,IT-päällikkö,"Vellikellonpolku 500, Lahti",+358 033933802,Leevi Partanen
Jari Koponen,Jari,Koponen,jarikoponen,jari.koponen@example.com,jari.koponen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Järkälekatu 07, Lahti",+358 29 0364552,Aulikki Pulkkinen
Jorma Keränen,Jorma,Keränen,jormakeranen,jorma.keranen@example.com,jorma.keranen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Agricolankuja 489, Lahti",+358 51 0650255,Aulikki Pulkkinen
Matti Ojala,Matti,Ojala,mattiojala,matti.ojala@example.com,matti.ojala@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Kilpolankatu 3, Lahti",048 117 1131,Aulikki Pulkkinen
Juhani Kiuru,Juhani,Kiuru,juhanikiuru,juhani.kiuru@example.com,juhani.kiuru@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Betonikatu 4, Lahti",0620553647,Aulikki Pulkkinen
Elina Pekkarinen,Elina,Pekkarinen,elinapekkarinen,elina.pekkarinen@example.com,elina.pekkarinen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Elontie 57, Lahti",+358 024594353,Aulikki Pulkkinen
Hannele Laiho,Hannele,Laiho,hannelelaiho,hannele.laiho@example.com,hannele.laiho@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Wecksellinbulevardi 093, Lahti",+358765293368,Aulikki Pulkkinen
Jarno Vartiainen,Jarno,Vartiainen,jarnovartiainen,jarno.vartiainen@example.com,jarno.vartiainen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Graniittipolku 0, Lahti",035 731 8020,Aulikki Pulkkinen
Helena Salonen,Helena,Salonen,helenasalonen,helena.salonen@example.com,helena.salonen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Capellan puistokatu 311, Lahti",+358 11 0455276,Aulikki Pulkkinen
Antero Huotari-Ihalainen,Antero,Huotari-Ihalainen,anterohuotariihalainen,antero.huotariihalainen@example.com,antero.huotariihalainen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Benktanpolku 449, Lahti",+358 33 0885397,Aulikki Pulkkinen
Helena Mäkinen,Helena,Mäkinen,helenamakinen,helena.makinen@example.com,helena.makinen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Agronominkatu 12, Lahti",+358 226194133,Aulikki Pulkkinen
Petteri Mäenpää,Petteri,Mäenpää,petterimaenpaa,petteri.maenpaa@example.com,petteri.maenpaa@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Runonlaulajanpolku 9, Lahti",+358872878573,Aulikki Pulkkinen
Mika Hartikainen,Mika,Hartikainen,mikahartikainen,mika.hartikainen@example.com,mika.hartikainen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Sapilastie 938, Lahti",+358 896404625,Aulikki Pulkkinen
Antero Mikkonen-Räisänen,Antero,Mikkonen-Räisänen,anteromikkonenraisanen,antero.mikkonenraisanen@example.com,antero.mikkonenraisanen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Ehrensvärdinkatu 7, Lahti",+358972553344,Aulikki Pulkkinen
Maria Miettinen,Maria,Miettinen,mariamiettinen,maria.miettinen@example.com,maria.miettinen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Maneesipolku 4, Lahti",(+358) 239408740,Aulikki Pulkkinen
Akseli Turunen,Akseli,Turunen,akseliturunen,akseli.turunen@example.com,akseli.turunen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Porintie 689, Lahti",0285320817,Aulikki Pulkkinen
Maria Laine,Maria,Laine,marialaine,maria.laine@example.com,maria.laine@example.com,Kotka,Tietoturva,Tietoturvapäällikkö,"Adolf Lindforsin bulevardi 799, Kotka",0535510123,Tiina Luoma
Sofia Jääskeläinen-Johansson,Sofia,Jääskeläinen-Johansson,sofiajaaskelainenjohansson,sofia.jaaskelainenjohansson@example.com,sofia.jaaskelainenjohansson@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Ilkankatu 74, Kotka",002 391 1628,Maria Laine
Onni Helin,Onni,Helin,onnihelin,onni.helin@example.com,onni.helin@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Willebrandintie 157, Kotka",+358 381163847,Maria Laine
Sinikka Rissanen,Sinikka,Rissanen,sinikkarissanen,sinikka.rissanen@example.com,sinikka.rissanen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Purjetuulenbulevardi 27, Kotka",+358 326774565,Maria Laine
Maria Berg,Maria,Berg,mariaberg,maria.berg@example.com,maria.berg@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Mannerheiminkuja 0, Kotka",031 796 7033,Maria Laine
Hannele Nissinen,Hannele,Nissinen,hannelenissinen,hannele.nissinen@example.com,hannele.nissinen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Saanatunturinkatu 65, Kotka",019 970 3686,Maria Laine
Aino Kinnunen,Aino,Kinnunen,ainokinnunen,aino.kinnunen@example.com,aino.kinnunen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Harakkamyllynpolku 374, Kotka",(+358) 596201980,Maria Laine
Tero Puhakka,Tero,Puhakka,teropuhakka,tero.puhakka@example.com,tero.puhakka@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Ahdekaunokintie 22, Kotka",+358650349799,Maria Laine
Pekka Anttila-Mikkola,Pekka,Anttila-Mikkola,pekkaanttilamikkola,pekka.anttilamikkola@example.com,pekka.anttilamikkola@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Oravakatu 275, Kotka",+358 78 1799208,Maria Laine
Julia Saarinen,Julia,Saarinen,juliasaarinen,julia.saarinen@example.com,julia.saarinen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Saparonkatu 445, Kotka",(+358) 367941870,Maria Laine
Ilmari Saari,Ilmari,Saari,ilmarisaari,ilmari.saari@example.com,ilmari.saari@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Adolf Lindforsin katu 80, Kotka",+358866531592,Maria Laine
Tauno Rantala-Saari,Tauno,Rantala-Saari,taunorantalasaari,tauno.rantalasaari@example.com,tauno.rantalasaari@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Ahdekaunokinpolku 4, Kotka",+358213041819,Maria Laine
Lassi Keränen,Lassi,Keränen,lassikeranen,lassi.keranen@example.com,lassi.keranen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Gunnel Nymanin katu 2, Kotka",+358158461397,Maria Laine
Irmeli Pelkonen,Irmeli,Pelkonen,irmelipelkonen,irmeli.pelkonen@example.com,irmeli.pelkonen@example.com,Kotka,Verkkoylläpito,Verkkoasiantuntija,"Yrttimaantie 0, Kotka",+358 901358783,Tiina Luoma
Mikko Salmela-Parviainen,Mikko,Salmela-Parviainen,mikkosalmelaparviainen,mikko.salmelaparviainen@example.com,mikko.salmelaparviainen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Nordenskiöldinbulevardi 47, Kotka",+358 09 0564344,Irmeli Pelkonen
Susanna Matilainen,Susanna,Matilainen,susannamatilainen,susanna.matilainen@example.com,susanna.matilainen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Walentin Chorellin bulevardi 93, Kotka",+358 362309005,Irmeli Pelkonen
Tuula Lammi,Tuula,Lammi,tuulalammi,tuula.lammi@example.com,tuula.lammi@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Osuuskunnankatu 39, Kotka",+358315001199,Irmeli Pelkonen
Taina Nykänen,Taina,Nykänen,tainanykanen,taina.nykanen@example.com,taina.nykanen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Orisaarenbulevardi 935, Kotka",(+358) 962463746,Irmeli Pelkonen
Petteri Kangas,Petteri,Kangas,petterikangas,petteri.kangas@example.com,petteri.kangas@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Usvakuja 8, Kotka",+358 539864784,Irmeli Pelkonen
Seija Korhonen-Kangas,Seija,Korhonen-Kangas,seijakorhonenkangas,seija.korhonenkangas@example.com,seija.korhonenkangas@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Iltatähdentie 69, Kotka",+358 716261797,Irmeli Pelkonen
Anne Makkonen,Anne,Makkonen,annemakkonen,anne.makkonen@example.com,anne.makkonen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Damaskuksentie 78, Kotka",+358 943459611,Irmeli Pelkonen
Kirsi Suominen,Kirsi,Suominen,kirsisuominen,kirsi.suominen@example.com,kirsi.suominen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Sahaajantie 888, Kotka",+358 524205541,Irmeli Pelkonen
Elsa Korhonen,Elsa,Korhonen,elsakorhonen,elsa.korhonen@example.com,elsa.korhonen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Rapakivenkatu 46, Kotka",+358819615907,Irmeli Pelkonen
Tapio Salminen,Tapio,Salminen,tapiosalminen,tapio.salminen@example.com,tapio.salminen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Yllästunturinkuja 51, Kotka",(+358) 277657963,Irmeli Pelkonen
Kalle Heikkilä-Heikkilä,Kalle,Heikkilä-Heikkilä,kalleheikkilaheikkila,kalle.heikkilaheikkila@example.com,kalle.heikkilaheikkila@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Yrjö-Koskisen polku 786, Kotka",+358 09 4001900,Irmeli Pelkonen
Juhani Kettunen,Juhani,Kettunen,juhanikettunen,juhani.kettunen@example.com,juhani.kettunen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Dunckerinbulevardi 2, Kotka",(+358) 167320704,Irmeli Pelkonen
Vuokko Eklund,Vuokko,Eklund,vuokkoeklund,vuokko.eklund@example.com,vuokko.eklund@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Laajasalonbulevardi 533, Kotka",058 491 8400,Irmeli Pelkonen
Veikko Heinonen,Veikko,Heinonen,veikkoheinonen,veikko.heinonen@example.com,veikko.heinonen@example.com,Kotka,Asiakastuki,Asiakastukipäällikkö,"Maneesibulevardi 8, Kotka",+358 711064217,Tiina Luoma
Heikki Pulkkinen,Heikki,Pulkkinen,heikkipulkkinen,heikki.pulkkinen@example.com,heikki.pulkkinen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Franzéninpolku 960, Kotka",+358 98 1895990,Veikko Heinonen
Eila Keränen,Eila,Keränen,eilakeranen,eila.keranen@example.com,eila.keranen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Bengalintie 643, Kotka",083 478 0282,Veikko Heinonen
Johannes Kivimäki,Johannes,Kivimäki,johanneskivimaki,johannes.kivimaki@example.com,johannes.kivimaki@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Osuuskunnankuja 63, Kotka",+358 24 6868913,Veikko Heinonen
Juhani Aaltonen,Juhani,Aaltonen,juhaniaaltonen,juhani.aaltonen@example.com,juhani.aaltonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Uunisepänkatu 6, Kotka",0978608843,Veikko Heinonen
Annikki Huttunen,Annikki,Huttunen,annikkihuttunen,annikki.huttunen@example.com,annikki.huttunen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Ieskatu 63, Kotka",(+358) 302613753,Veikko Heinonen
Juhani Laaksonen,Juhani,Laaksonen,juhanilaaksonen,juhani.laaksonen@example.com,juhani.laaksonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Ylä-Fallin katu 474, Kotka",+358 93 4083631,Veikko Heinonen
Tapani Luukkonen,Tapani,Luukkonen,tapaniluukkonen,tapani.luukkonen@example.com,tapani.luukkonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Graniittibulevardi 16, Kotka",+358 955711255,Veikko Heinonen
Olivia Laitinen,Olivia,Laitinen,olivialaitinen,olivia.laitinen@example.com,olivia.laitinen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Yrjönkatu 66, Kotka",+358 48 1211925,Veikko Heinonen
Mikael Ranta,Mikael,Ranta,mikaelranta,mikael.ranta@example.com,mikael.ranta@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Jätkäsaarentie 833, Kotka",+358 04 7962679,Veikko Heinonen
Hilkka Niskanen,Hilkka,Niskanen,hilkkaniskanen,hilkka.niskanen@example.com,hilkka.niskanen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Betonitie 779, Kotka",095 066 0450,Veikko Heinonen
Kalevi Karhu,Kalevi,Karhu,kalevikarhu,kalevi.karhu@example.com,kalevi.karhu@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Fagottipolku 96, Kotka",(+358) 236715672,Veikko Heinonen
Tuomas Korpela,Tuomas,Korpela,tuomaskorpela,tuomas.korpela@example.com,tuomas.korpela@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Elontie 9, Kotka",+358361415410,Veikko Heinonen
Sofia Ylönen-Karjalainen,Sofia,Ylönen-Karjalainen,sofiaylonenkarjalainen,sofia.ylonenkarjalainen@example.com,sofia.ylonenkarjalainen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Dosentinkuja 9, Kotka",+358368020572,Veikko Heinonen
Hannele Lehtonen,Hannele,Lehtonen,hannelelehtonen,hannele.lehtonen@example.com,hannele.lehtonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Sapilasbulevardi 015, Kotka",+358823429147,Veikko Heinonen
Tuomas Anttila-Ryynänen,Tuomas,Anttila-Ryynänen,tuomasanttilaryynanen,tuomas.anttilaryynanen@example.com,tuomas.anttilaryynanen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Caloniuksenpolku 0, Kotka",031 608 1560,Veikko Heinonen
Ari Hämäläinen,Ari,Hämäläinen,arihamalainen,ari.hamalainen@example.com,ari.hamalainen@example.com,Oulu,Tuotekehitys,Tuotekehityspäällikkö,"Dagmarinkuja 353, Oulu",+358 804832797,Jenni Järvenpää
Olavi Alatalo,Olavi,Alatalo,olavialatalo,olavi.alatalo@example.com,olavi.alatalo@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Porekatu 566, Oulu",031 085 1528,Ari Hämäläinen
Olavi Korpela,Olavi,Korpela,olavikorpela,olavi.korpela@example.com,olavi.korpela@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Edelfeltinkatu 395, Oulu",+358 898136748,Ari Hämäläinen
Jesse Salonen,Jesse,Salonen,jessesalonen,jesse.salonen@example.com,jesse.salonen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Ormuspolku 4, Oulu",0334960746,Ari Hämäläinen
Ahti Heikkinen,Ahti,Heikkinen,ahtiheikkinen,ahti.heikkinen@example.com,ahti.heikkinen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Otermankatu 7, Oulu",0456645232,Ari Hämäläinen
Juhani Lehtinen,Juhani,Lehtinen,juhanilehtinen,juhani.lehtinen@example.com,juhani.lehtinen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Disankatu 7, Oulu",+358190696878,Ari Hämäläinen
Mikael Lehtonen-Turunen,Mikael,Lehtonen-Turunen,mikaellehtonenturunen,mikael.lehtonenturunen@example.com,mikael.lehtonenturunen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Böstaksenbulevardi 2, Oulu",+358453032639,Ari Hämäläinen
Veli Laitinen,Veli,Laitinen,velilaitinen,veli.laitinen@example.com,veli.laitinen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Bengalinkuja 54, Oulu",+358 065304530,Ari Hämäläinen
Elisabet Lepistö-Kortelainen,Elisabet,Lepistö-Kortelainen,elisabetlepistokortelainen,elisabet.lepistokortelainen@example.com,elisabet.lepistokortelainen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Waseniuksen puistokatu 2, Oulu",+358 66 1217127,Ari Hämäläinen
