Name,GivenName,Surname,SamAccountName,UserPrincipalName,Email,Office,Department,Title,StreetAddress,Phone,Manager
Toni Karhu,Toni,Karhu,toni.karhu,toni.karhu@example.com,toni.karhu@example.com,Lahti,Johto,Johtaja,"Porinbulevardi 9, Lahti",094 301 4190,Maria Koskinen-Heinonen
Kaarina Kortelainen,Kaarina,Kortelainen,kaarina.kortelainen,kaarina.kortelainen@example.com,kaarina.kortelainen@example.com,Lahti,Johto,Johtaja,"Veropellontie 62, Lahti",+358752276682,Maria Koskinen-Heinonen
Jalmari Karjalainen,Jalmari,Karjalainen,jalmari.karjalainen,jalmari.karjalainen@example.com,jalmari.karjalainen@example.com,Lahti,Johto,Johtaja,"Yhteiskoulunkuja 7, Lahti",021 837 8015,Maria Koskinen-Heinonen
Antti Nurmi,Antti,Nurmi,antti.nurmi,antti.nurmi@example.com,antti.nurmi@example.com,Lahti,Johto,Johtaja,"Santerlantie 5, Lahti",(+358) 422906005,Maria Koskinen-Heinonen
Ilmari Rajala,Ilmari,Rajala,ilmari.rajala,ilmari.rajala@example.com,ilmari.rajala@example.com,Lahti,Johto,Johtaja,"Biologinkuja 317, Lahti",+358 445183825,Maria Koskinen-Heinonen
Ari Ojanen,Ari,Ojanen,ari.ojanen,ari.ojanen@example.com,ari.ojanen@example.com,Lahti,Johto,Johtaja,"Elonbulevardi 086, Lahti",+358 539992505,Maria Koskinen-Heinonen
Harri Huotari,Harri,Huotari,harri.huotari,harri.huotari@example.com,harri.huotari@example.com,Lahti,Johto,Johtaja,"Nordenskiöldinbulevardi 0, Lahti",+358 613979122,Maria Koskinen-Heinonen
Juhani Kilpeläinen,Juhani,Kilpeläinen,juhani.kilpelainen,juhani.kilpelainen@example.com,juhani.kilpelainen@example.com,Lahti,Johto,Johtaja,"Ahvenkoskenpolku 204, Lahti",0441761052,Maria Koskinen-Heinonen
Oliver Salonen-Nykänen,Oliver,Salonen-Nykänen,oliver.salonennykanen,oliver.salonennykanen@example.com,oliver.salonennykanen@example.com,Lahti,Johto,Johtaja,"Winqvistinpolku 3, Lahti",0204668328,Maria Koskinen-Heinonen
Ville Jansson,Ville,Jansson,ville.jansson,ville.jansson@example.com,ville.jansson@example.com,Lahti,Taloushallinto,Talouspäällikkö,"Yläkaskenbulevardi 609, Lahti",+358 32 2404296,Leevi Partanen
Aila Nikula,Aila,Nikula,aila.nikula,aila.nikula@example.com,aila.nikula@example.com,Lahti,Taloushallinto,Palkanlaskija,"Bengalinkatu 3, Lahti",+358627915823,Ville Jansson
Kari Peltola-Hannula,Kari,Peltola-Hannula,kari.peltolahannula,kari.peltolahannula@example.com,kari.peltolahannula@example.com,Lahti,Taloushallinto,Palkanlaskija,"Eino Leinon kuja 3, Lahti",+358 428881338,Ville Jansson
Marjukka Lähteenmäki,Marjukka,Lähteenmäki,marjukka.lahteenmaki,marjukka.lahteenmaki@example.com,marjukka.lahteenmaki@example.com,Lahti,Taloushallinto,Palkanlaskija,"Haahkapolku 5, Lahti",(+358) 310060530,Ville Jansson
Elisabeth Taskinen-Ojala,Elisabeth,Taskinen-Ojala,elisabeth.taskinenojala,elisabeth.taskinenojala@example.com,elisabeth.taskinenojala@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Fallkullanpolku 256, Lahti",+358 484370053,Ville Jansson
Maria Salminen,Maria,Salminen,maria.salminen,maria.salminen@example.com,maria.salminen@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Jäkäläpolku 38, Lahti",+358 100233594,Ville Jansson
Marja Laine,Marja,Laine,marja.laine,marja.laine@example.com,marja.laine@example.com,Lahti,Taloushallinto,Palkanlaskija,"Taimistonpolku 68, Lahti",(+358) 845514831,Ville Jansson
Esteri Kivinen,Esteri,Kivinen,esteri.kivinen,esteri.kivinen@example.com,esteri.kivinen@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Immolanbulevardi 3, Lahti",+358 778094161,Ville Jansson
Helena Rantanen,Helena,Rantanen,helena.rantanen,helena.rantanen@example.com,helena.rantanen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Walentin Chorellin polku 3, Lahti",0814631947,Ville Jansson
Jouko Miettinen,Jouko,Miettinen,jouko.miettinen,jouko.miettinen@example.com,jouko.miettinen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Porkkalantie 2, Lahti",(+358) 369900153,Ville Jansson
Marjatta Vuorinen,Marjatta,Vuorinen,marjatta.vuorinen,marjatta.vuorinen@example.com,marjatta.vuorinen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Ylipalonpolku 242, Lahti",061 426 6114,Ville Jansson
Johannes Salonen,Johannes,Salonen,johannes.salonen,johannes.salonen@example.com,johannes.salonen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Uskalikontie 914, Lahti",(+358) 624973847,Ville Jansson
Laura Nieminen-Laukkanen,Laura,Nieminen-Laukkanen,laura.nieminenlaukkanen,laura.nieminenlaukkanen@example.com,laura.nieminenlaukkanen@example.com,Lahti,Taloushallinto,Kirjanpitäjä,"Jänkäbulevardi 839, Lahti",+358981386290,Ville Jansson
Pekka Piirainen,Pekka,Piirainen,pekka.piirainen,pekka.piirainen@example.com,pekka.piirainen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Louhikkotie 71, Lahti",+358 03 1343124,Ville Jansson
Elisa Mäkinen-Nieminen,Elisa,Mäkinen-Nieminen,elisa.makinennieminen,elisa.makinennieminen@example.com,elisa.makinennieminen@example.com,Lahti,Taloushallinto,Palkanlaskija,"Jälsitie 465, Lahti",0074789535,Ville Jansson
Anna Kivinen,Anna,Kivinen,anna.kivinen,anna.kivinen@example.com,anna.kivinen@example.com,Lahti,Henkilöstöhallinto,HR-päällikkö,"Willebrandinbulevardi 6, Lahti",072 958 2884,Leevi Partanen
Aleksandra Miettinen,Aleksandra,Miettinen,aleksandra.miettinen,aleksandra.miettinen@example.com,aleksandra.miettinen@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Lautamiehentie 858, Lahti",+358528518405,Anna Kivinen
Heikki Hiltunen,Heikki,Hiltunen,heikki.hiltunen,heikki.hiltunen@example.com,heikki.hiltunen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Maneesikuja 88, Lahti",(+358) 596413521,Anna Kivinen
Marjatta Toivonen-Korpi,Marjatta,Toivonen-Korpi,marjatta.toivonenkorpi,marjatta.toivonenkorpi@example.com,marjatta.toivonenkorpi@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Puroniityntie 4, Lahti",+358622240888,Anna Kivinen
Eeva Laakso-Mäkinen,Eeva,Laakso-Mäkinen,eeva.laaksomakinen,eeva.laaksomakinen@example.com,eeva.laaksomakinen@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Lautamiehenkuja 507, Lahti",+358 717438027,Anna Kivinen
Tarja Makkonen,Tarja,Makkonen,tarja.makkonen,tarja.makkonen@example.com,tarja.makkonen@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Verkkobulevardi 103, Lahti",007 387 7030,Anna Kivinen
Ilkka Virtanen-Laiho,Ilkka,Virtanen-Laiho,ilkka.virtanenlaiho,ilkka.virtanenlaiho@example.com,ilkka.virtanenlaiho@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Ilomäenbulevardi 040, Lahti",003 965 7249,Anna Kivinen
Oskari Henriksson,Oskari,Henriksson,oskari.henriksson,oskari.henriksson@example.com,oskari.henriksson@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Puuskapolku 3, Lahti",064 284 7166,Anna Kivinen
Tuula Keränen-Aalto,Tuula,Keränen-Aalto,tuula.keranenaalto,tuula.keranenaalto@example.com,tuula.keranenaalto@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Tuohikoivunpolku 202, Lahti",0344565624,Anna Kivinen
Reijo Aaltonen,Reijo,Aaltonen,reijo.aaltonen,reijo.aaltonen@example.com,reijo.aaltonen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Harbonkuja 5, Lahti",025 929 0868,Anna Kivinen
Ensio Välimäki-Jansson,Ensio,Välimäki-Jansson,ensio.valimakijansson,ensio.valimakijansson@example.com,ensio.valimakijansson@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Jänkäkuja 5, Lahti",+358311336236,Anna Kivinen
Irmeli Huttunen,Irmeli,Huttunen,irmeli.huttunen,irmeli.huttunen@example.com,irmeli.huttunen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Rapolankuja 34, Lahti",(+358) 580286965,Anna Kivinen
Nina Holmberg-Tuomi,Nina,Holmberg-Tuomi,nina.holmbergtuomi,nina.holmbergtuomi@example.com,nina.holmbergtuomi@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Tahtikatu 77, Lahti",+358 787994879,Anna Kivinen
Rainer Lehtonen,Rainer,Lehtonen,rainer.lehtonen,rainer.lehtonen@example.com,rainer.lehtonen@example.com,Lahti,Henkilöstöhallinto,Rekrytointikoordinaattori,"Dunckerinpolku 06, Lahti",(+358) 503218680,Anna Kivinen
Aulikki Pulkkinen,Aulikki,Pulkkinen,aulikki.pulkkinen,aulikki.pulkkinen@example.com,aulikki.pulkkinen@example.com,Lahti,Henkilöstöhallinto,HR-asiantuntija,"Vellikellonpolku 500, Lahti",+358 033933802,Anna Kivinen
Jari Koponen,Jari,Koponen,jari.koponen,jari.koponen@example.com,jari.koponen@example.com,Lahti,IT-Tuki,IT-päällikkö,"Järkälekatu 07, Lahti",+358 29 0364552,Leevi Partanen
Jorma Keränen,Jorma,Keränen,jorma.keranen,jorma.keranen@example.com,jorma.keranen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Agricolankuja 489, Lahti",+358 51 0650255,Jari Koponen
Matti Ojala,Matti,Ojala,matti.ojala,matti.ojala@example.com,matti.ojala@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Kilpolankatu 3, Lahti",048 117 1131,Jari Koponen
Juhani Kiuru,Juhani,Kiuru,juhani.kiuru,juhani.kiuru@example.com,juhani.kiuru@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Betonikatu 4, Lahti",0620553647,Jari Koponen
Elina Pekkarinen,Elina,Pekkarinen,elina.pekkarinen,elina.pekkarinen@example.com,elina.pekkarinen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Elontie 57, Lahti",+358 024594353,Jari Koponen
Hannele Laiho,Hannele,Laiho,hannele.laiho,hannele.laiho@example.com,hannele.laiho@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Wecksellinbulevardi 093, Lahti",+358765293368,Jari Koponen
Jarno Vartiainen,Jarno,Vartiainen,jarno.vartiainen,jarno.vartiainen@example.com,jarno.vartiainen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Graniittipolku 0, Lahti",035 731 8020,Jari Koponen
Helena Salonen,Helena,Salonen,helena.salonen,helena.salonen@example.com,helena.salonen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Capellan puistokatu 311, Lahti",+358 11 0455276,Jari Koponen
Antero Huotari-Ihalainen,Antero,Huotari-Ihalainen,antero.huotariihalainen,antero.huotariihalainen@example.com,antero.huotariihalainen@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Benktanpolku 449, Lahti",+358 33 0885397,Jari Koponen
Helena Mäkinen,Helena,Mäkinen,helena.makinen,helena.makinen@example.com,helena.makinen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Agronominkatu 12, Lahti",+358 226194133,Jari Koponen
Petteri Mäenpää,Petteri,Mäenpää,petteri.maenpaa,petteri.maenpaa@example.com,petteri.maenpaa@example.com,Lahti,IT-Tuki,Helpdesk-asiantuntija,"Runonlaulajanpolku 9, Lahti",+358872878573,Jari Koponen
Mika Hartikainen,Mika,Hartikainen,mika.hartikainen,mika.hartikainen@example.com,mika.hartikainen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Sapilastie 938, Lahti",+358 896404625,Jari Koponen
Antero Mikkonen-Räisänen,Antero,Mikkonen-Räisänen,antero.mikkonenraisanen,antero.mikkonenraisanen@example.com,antero.mikkonenraisanen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Ehrensvärdinkatu 7, Lahti",+358972553344,Jari Koponen
Maria Miettinen,Maria,Miettinen,maria.miettinen,maria.miettinen@example.com,maria.miettinen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Maneesipolku 4, Lahti",(+358) 239408740,Jari Koponen
Akseli Turunen,Akseli,Turunen,akseli.turunen,akseli.turunen@example.com,akseli.turunen@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Porintie 689, Lahti",0285320817,Jari Koponen
Maria Laine,Maria,Laine,maria.laine,maria.laine@example.com,maria.laine@example.com,Lahti,IT-Tuki,Järjestelmäasiantuntija,"Adolf Lindforsin bulevardi 799, Lahti",0535510123,Jari Koponen
Sofia Jääskeläinen-Johansson,Sofia,Jääskeläinen-Johansson,sofia.jaaskelainenjohansson,sofia.jaaskelainenjohansson@example.com,sofia.jaaskelainenjohansson@example.com,Kotka,Tietoturva,Tietoturvapäällikkö,"Ilkankatu 74, Kotka",002 391 1628,Tiina Luoma
Onni Helin,Onni,Helin,onni.helin,onni.helin@example.com,onni.helin@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Willebrandintie 157, Kotka",+358 381163847,Sofia Jääskeläinen-Johansson
Sinikka Rissanen,Sinikka,Rissanen,sinikka.rissanen,sinikka.rissanen@example.com,sinikka.rissanen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Purjetuulenbulevardi 27, Kotka",+358 326774565,Sofia Jääskeläinen-Johansson
Maria Berg,Maria,Berg,maria.berg,maria.berg@example.com,maria.berg@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Mannerheiminkuja 0, Kotka",031 796 7033,Sofia Jääskeläinen-Johansson
Hannele Nissinen,Hannele,Nissinen,hannele.nissinen,hannele.nissinen@example.com,hannele.nissinen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Saanatunturinkatu 65, Kotka",019 970 3686,Sofia Jääskeläinen-Johansson
Aino Kinnunen,Aino,Kinnunen,aino.kinnunen,aino.kinnunen@example.com,aino.kinnunen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Harakkamyllynpolku 374, Kotka",(+358) 596201980,Sofia Jääskeläinen-Johansson
Tero Puhakka,Tero,Puhakka,tero.puhakka,tero.puhakka@example.com,tero.puhakka@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Ahdekaunokintie 22, Kotka",+358650349799,Sofia Jääskeläinen-Johansson
Pekka Anttila-Mikkola,Pekka,Anttila-Mikkola,pekka.anttilamikkola,pekka.anttilamikkola@example.com,pekka.anttilamikkola@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Oravakatu 275, Kotka",+358 78 1799208,Sofia Jääskeläinen-Johansson
Julia Saarinen,Julia,Saarinen,julia.saarinen,julia.saarinen@example.com,julia.saarinen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Saparonkatu 445, Kotka",(+358) 367941870,Sofia Jääskeläinen-Johansson
Ilmari Saari,Ilmari,Saari,ilmari.saari,ilmari.saari@example.com,ilmari.saari@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Adolf Lindforsin katu 80, Kotka",+358866531592,Sofia Jääskeläinen-Johansson
Tauno Rantala-Saari,Tauno,Rantala-Saari,tauno.rantalasaari,tauno.rantalasaari@example.com,tauno.rantalasaari@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Ahdekaunokinpolku 4, Kotka",+358213041819,Sofia Jääskeläinen-Johansson
Lassi Keränen,Lassi,Keränen,lassi.keranen,lassi.keranen@example.com,lassi.keranen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Gunnel Nymanin katu 2, Kotka",+358158461397,Sofia Jääskeläinen-Johansson
Irmeli Pelkonen,Irmeli,Pelkonen,irmeli.pelkonen,irmeli.pelkonen@example.com,irmeli.pelkonen@example.com,Kotka,Tietoturva,Tietoturva-asiantuntija,"Yrttimaantie 0, Kotka",+358 901358783,Sofia Jääskeläinen-Johansson
Mikko Salmela-Parviainen,Mikko,Salmela-Parviainen,mikko.salmelaparviainen,mikko.salmelaparviainen@example.com,mikko.salmelaparviainen@example.com,Kotka,Verkkoylläpito,Verkkoasiantuntija,"Nordenskiöldinbulevardi 47, Kotka",+358 09 0564344,Tiina Luoma
Susanna Matilainen,Susanna,Matilainen,susanna.matilainen,susanna.matilainen@example.com,susanna.matilainen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Walentin Chorellin bulevardi 93, Kotka",+358 362309005,Mikko Salmela-Parviainen
Tuula Lammi,Tuula,Lammi,tuula.lammi,tuula.lammi@example.com,tuula.lammi@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Osuuskunnankatu 39, Kotka",+358315001199,Mikko Salmela-Parviainen
Taina Nykänen,Taina,Nykänen,taina.nykanen,taina.nykanen@example.com,taina.nykanen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Orisaarenbulevardi 935, Kotka",(+358) 962463746,Mikko Salmela-Parviainen
Petteri Kangas,Petteri,Kangas,petteri.kangas,petteri.kangas@example.com,petteri.kangas@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Usvakuja 8, Kotka",+358 539864784,Mikko Salmela-Parviainen
Seija Korhonen-Kangas,Seija,Korhonen-Kangas,seija.korhonenkangas,seija.korhonenkangas@example.com,seija.korhonenkangas@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Iltatähdentie 69, Kotka",+358 716261797,Mikko Salmela-Parviainen
Anne Makkonen,Anne,Makkonen,anne.makkonen,anne.makkonen@example.com,anne.makkonen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Damaskuksentie 78, Kotka",+358 943459611,Mikko Salmela-Parviainen
Kirsi Suominen,Kirsi,Suominen,kirsi.suominen,kirsi.suominen@example.com,kirsi.suominen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Sahaajantie 888, Kotka",+358 524205541,Mikko Salmela-Parviainen
Elsa Korhonen,Elsa,Korhonen,elsa.korhonen,elsa.korhonen@example.com,elsa.korhonen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Rapakivenkatu 46, Kotka",+358819615907,Mikko Salmela-Parviainen
Tapio Salminen,Tapio,Salminen,tapio.salminen,tapio.salminen@example.com,tapio.salminen@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Yllästunturinkuja 51, Kotka",(+358) 277657963,Mikko Salmela-Parviainen
Kalle Heikkilä-Heikkilä,Kalle,Heikkilä-Heikkilä,kalle.heikkilaheikkila,kalle.heikkilaheikkila@example.com,kalle.heikkilaheikkila@example.com,Kotka,Verkkoylläpito,Järjestelmäylläpitäjä,"Yrjö-Koskisen polku 786, Kotka",+358 09 4001900,Mikko Salmela-Parviainen
Juhani Kettunen,Juhani,Kettunen,juhani.kettunen,juhani.kettunen@example.com,juhani.kettunen@example.com,Kotka,Asiakastuki,Asiakastukipäällikkö,"Dunckerinbulevardi 2, Kotka",(+358) 167320704,Tiina Luoma
Vuokko Eklund,Vuokko,Eklund,vuokko.eklund,vuokko.eklund@example.com,vuokko.eklund@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Laajasalonbulevardi 533, Kotka",058 491 8400,Juhani Kettunen
Veikko Heinonen,Veikko,Heinonen,veikko.heinonen,veikko.heinonen@example.com,veikko.heinonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Maneesibulevardi 8, Kotka",+358 711064217,Juhani Kettunen
Heikki Pulkkinen,Heikki,Pulkkinen,heikki.pulkkinen,heikki.pulkkinen@example.com,heikki.pulkkinen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Franzéninpolku 960, Kotka",+358 98 1895990,Juhani Kettunen
Eila Keränen,Eila,Keränen,eila.keranen,eila.keranen@example.com,eila.keranen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Bengalintie 643, Kotka",083 478 0282,Juhani Kettunen
Johannes Kivimäki,Johannes,Kivimäki,johannes.kivimaki,johannes.kivimaki@example.com,johannes.kivimaki@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Osuuskunnankuja 63, Kotka",+358 24 6868913,Juhani Kettunen
Juhani Aaltonen,Juhani,Aaltonen,juhani.aaltonen,juhani.aaltonen@example.com,juhani.aaltonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Uunisepänkatu 6, Kotka",0978608843,Juhani Kettunen
Annikki Huttunen,Annikki,Huttunen,annikki.huttunen,annikki.huttunen@example.com,annikki.huttunen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Ieskatu 63, Kotka",(+358) 302613753,Juhani Kettunen
Juhani Laaksonen,Juhani,Laaksonen,juhani.laaksonen,juhani.laaksonen@example.com,juhani.laaksonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Ylä-Fallin katu 474, Kotka",+358 93 4083631,Juhani Kettunen
Tapani Luukkonen,Tapani,Luukkonen,tapani.luukkonen,tapani.luukkonen@example.com,tapani.luukkonen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Graniittibulevardi 16, Kotka",+358 955711255,Juhani Kettunen
Olivia Laitinen,Olivia,Laitinen,olivia.laitinen,olivia.laitinen@example.com,olivia.laitinen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Yrjönkatu 66, Kotka",+358 48 1211925,Juhani Kettunen
Mikael Ranta,Mikael,Ranta,mikael.ranta,mikael.ranta@example.com,mikael.ranta@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Jätkäsaarentie 833, Kotka",+358 04 7962679,Juhani Kettunen
Hilkka Niskanen,Hilkka,Niskanen,hilkka.niskanen,hilkka.niskanen@example.com,hilkka.niskanen@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Betonitie 779, Kotka",095 066 0450,Juhani Kettunen
Kalevi Karhu,Kalevi,Karhu,kalevi.karhu,kalevi.karhu@example.com,kalevi.karhu@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Fagottipolku 96, Kotka",(+358) 236715672,Juhani Kettunen
Tuomas Korpela,Tuomas,Korpela,tuomas.korpela,tuomas.korpela@example.com,tuomas.korpela@example.com,Kotka,Asiakastuki,Asiakaspalvelija,"Elontie 9, Kotka",+358361415410,Juhani Kettunen
Sofia Ylönen-Karjalainen,Sofia,Ylönen-Karjalainen,sofia.ylonenkarjalainen,sofia.ylonenkarjalainen@example.com,sofia.ylonenkarjalainen@example.com,Oulu,Tuotekehitys,Tuotekehityspäällikkö,"Dosentinkuja 9, Oulu",+358368020572,Jenni Järvenpää
Hannele Lehtonen,Hannele,Lehtonen,hannele.lehtonen,hannele.lehtonen@example.com,hannele.lehtonen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Sapilasbulevardi 015, Oulu",+358823429147,Sofia Ylönen-Karjalainen
Tuomas Anttila-Ryynänen,Tuomas,Anttila-Ryynänen,tuomas.anttilaryynanen,tuomas.anttilaryynanen@example.com,tuomas.anttilaryynanen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Caloniuksenpolku 0, Oulu",031 608 1560,Sofia Ylönen-Karjalainen
Ari Hämäläinen,Ari,Hämäläinen,ari.hamalainen,ari.hamalainen@example.com,ari.hamalainen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Dagmarinkuja 353, Oulu",+358 804832797,Sofia Ylönen-Karjalainen
Olavi Alatalo,Olavi,Alatalo,olavi.alatalo,olavi.alatalo@example.com,olavi.alatalo@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Porekatu 566, Oulu",031 085 1528,Sofia Ylönen-Karjalainen
Olavi Korpela,Olavi,Korpela,olavi.korpela,olavi.korpela@example.com,olavi.korpela@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Edelfeltinkatu 395, Oulu",+358 898136748,Sofia Ylönen-Karjalainen
Jesse Salonen,Jesse,Salonen,jesse.salonen,jesse.salonen@example.com,jesse.salonen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Ormuspolku 4, Oulu",0334960746,Sofia Ylönen-Karjalainen
Ahti Heikkinen,Ahti,Heikkinen,ahti.heikkinen,ahti.heikkinen@example.com,ahti.heikkinen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Otermankatu 7, Oulu",0456645232,Sofia Ylönen-Karjalainen
Juhani Lehtinen,Juhani,Lehtinen,juhani.lehtinen,juhani.lehtinen@example.com,juhani.lehtinen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Disankatu 7, Oulu",+358190696878,Sofia Ylönen-Karjalainen
Mikael Lehtonen-Turunen,Mikael,Lehtonen-Turunen,mikael.lehtonenturunen,mikael.lehtonenturunen@example.com,mikael.lehtonenturunen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Böstaksenbulevardi 2, Oulu",+358453032639,Sofia Ylönen-Karjalainen
