username;firstname;lastname;initials;ou;city;zipcode;country;company;state;streetaddress;telephone;email;jobtitle;department;manager;password
imäki;Ilkka;Mäki;IM;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;81217;Finland;ITKuntoon;Lahti;Sadebulevardi 38;+358 40 5526718;imäki@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;htamminen;($rJsOtC4Bq8
rmäättä;Riitta;Määttä;RM;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;66065;Finland;ITKuntoon;Kotka;Freesenkatu 046;+358 41 1181354;rmäättä@itkuntoon.com;Asiakaspalvelija;Asiakastuki;jnyman;k(j4Z63d_N60
jsalmi;Johannes;Salmi;JS;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;24757;Finland;ITKuntoon;Kotka;Ilmattarenkuja 138;+358 50 9209112;jsalmi@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;htamminen;Y*B8@TXyPzq%
jlipponen;Julius;Lipponen;JL;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;33068;Finland;ITKuntoon;Lahti;Capellan puistokatu 48;+358 41 8956433;jlipponen@itkuntoon.com;Toimitusjohtaja;Johto;esavolainen;&7%suIpGv_Hq
hkarttunen;Henry;Karttunen;HK;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;49897;Finland;ITKuntoon;Kotka;Gyldéninkatu 88;+358 50 2342528;hkarttunen@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;khelenius;(32CIbExQuSa
hkokkonen;Helena;Kokkonen;HK;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;40632;Finland;ITKuntoon;Lahti;Urheilupolku 0;+358 41 7742408;hkokkonen@itkuntoon.com;Talouspäällikkö;Taloushallinto;jsalmi;i#x1QRGeW#2D
vmustonen;Viljami;Mustonen;VM;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;43383;Finland;ITKuntoon;Oulu;Taavinkuja 08;+358 50 5736928;vmustonen@itkuntoon.com;Ohjelmistokehittäjä;Ohjelmistokehitys;tkarjalainen;8_VwML8H#b^l
mmiettinen;Maria;Miettinen;MM;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;61759;Finland;ITKuntoon;Lahti;Osuuskunnanpolku 658;+358 45 3861508;mmiettinen@itkuntoon.com;Toimitusjohtaja;Johto;tpelkonen;&XhHAuie_^0O
chuovinen;Carita;Huovinen;CH;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;85151;Finland;ITKuntoon;Lahti;Zaidankatu 97;+358 45 5544136;chuovinen@itkuntoon.com;Toimitusjohtaja;Johto;eperälä;#97qXqwb^ked
tmäättä;Tapani;Määttä;TM;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;45321;Finland;ITKuntoon;Lahti;Maneesikuja 2;+358 44 2687877;tmäättä@itkuntoon.com;Operatiivinen johtaja;Johto;rmäättä;*8%kLxlL2DQA
nhämäläinen;Nina;Hämäläinen;NH;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;34297;Finland;ITKuntoon;Kotka;Puuskabulevardi 445;+358 50 5869971;nhämäläinen@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;atiihonen;AG@Or7YiA$jU
sheikkinen;Sonja;Heikkinen;SH;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;26871;Finland;ITKuntoon;Lahti;Jäkäläbulevardi 354;+358 40 7767145;sheikkinen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;jheikkilä;Co#5JkcLIQ(0
mturpeinen;Marjaana;Turpeinen;MT;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;63623;Finland;ITKuntoon;Lahti;Niittylänkatu 72;+358 44 2714897;mturpeinen@itkuntoon.com;Toimitusjohtaja;Johto;hkarttunen;_C^SC(&+r2qH
rhämäläinen;Rasmus;Hämäläinen;RH;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;47316;Finland;ITKuntoon;Oulu;Agnes Sjöbergin polku 4;+358 45 6401625;rhämäläinen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;htamminen;C(fQTbfkv$x1
pojala;Pirjo;Ojala;PO;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;26259;Finland;ITKuntoon;Oulu;Poikasaartenkatu 877;+358 45 3166768;pojala@itkuntoon.com;Full Stack Developer;Ohjelmistokehitys;hkarttunen;+19kIMThott@
anevalainen;Anneli;Nevalainen;AN;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;18859;Finland;ITKuntoon;Oulu;Tuohikoivunbulevardi 2;+358 50 2024179;anevalainen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;vmustonen;HC4iHhl7k_9q
tmikkola;Tapio;Mikkola;TM;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;20323;Finland;ITKuntoon;Oulu;Kukkaniitynkuja 39;+358 45 5835386;tmikkola@itkuntoon.com;Full Stack Developer;Ohjelmistokehitys;sheikkinen;1yX@Z8OUsF*U
auusitalo;Aleksandra;Uusitalo;AU;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;47979;Finland;ITKuntoon;Oulu;Tyynylaavankatu 442;+358 44 8072575;auusitalo@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;auusitalo;zvZ9pzHf+4aZ
ikorhonen;Ismo;Korhonen;IK;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;41946;Finland;ITKuntoon;Lahti;Rukoushuoneentie 4;+358 44 4291927;ikorhonen@itkuntoon.com;Operatiivinen johtaja;Johto;skosonen;(a(XJPv(O72E
kmäkelä;Kristiina;Mäkelä;KM;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;75901;Finland;ITKuntoon;Kotka;Ostosbulevardi 7;+358 44 8120974;kmäkelä@itkuntoon.com;IT-suojauksen analyytikko;Tietoturva;imäki;&!1vkEdF#cCp
hlaaksonen;Helena;Laaksonen;HL;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;35367;Finland;ITKuntoon;Kotka;Taavetti Laitisen kuja 2;+358 41 6352849;hlaaksonen@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;hkolehmainen;H4C!BvlPo6yI
ikoskela;Ida;Koskela;IK;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;35804;Finland;ITKuntoon;Oulu;Kolsinkuja 6;+358 45 3340341;ikoskela@itkuntoon.com;Projektipäällikkö;Projektinhallinta;imäki;BJ*EEVu0RMc4
trantanen;Toivo;Rantanen;TR;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;71834;Finland;ITKuntoon;Lahti;Fagottitie 5;+358 44 4052731;trantanen@itkuntoon.com;Järjestelmäasiantuntija;IT-Tuki;mmanninen;8+22NEdyU%Pr
mjalonen;Matias;Jalonen;MJ;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;91549;Finland;ITKuntoon;Kotka;Orisaarenpolku 02;+358 45 6826928;mjalonen@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;nhämäläinen;m_nbHW0%Rz07
jleino;Juhani;Leino;JL;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;08137;Finland;ITKuntoon;Oulu;Ieskatu 8;+358 45 1840846;jleino@itkuntoon.com;Scrum Master;Projektinhallinta;sheikkinen;q)6Av7rA(W2z
slaakso;Susanna;Laakso;SL;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;60973;Finland;ITKuntoon;Kotka;Ahvenkoskenbulevardi 15;+358 45 5515608;slaakso@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;jlipponen;!p3rAeJw3z1F
haho;Hannu;Aho;HA;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;76803;Finland;ITKuntoon;Kotka;Gotlanninpolku 82;+358 50 6690541;haho@itkuntoon.com;Support Specialist;Asiakastuki;rhämäläinen;$Q(fJHcpD^B8
jparviainen;Jaakko;Parviainen;JP;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;44813;Finland;ITKuntoon;Kotka;Porinkuja 5;+358 50 8432318;jparviainen@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;rmäättä;)2Rru+@*R(nw
opuustinen;Olavi;Puustinen;OP;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;96871;Finland;ITKuntoon;Lahti;Sahaajanpolku 418;+358 40 4949801;opuustinen@itkuntoon.com;Talouspäällikkö;Taloushallinto;khelenius;HH0H*3f37_5H
lriihimäki;Lauri;Riihimäki;LR;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;10852;Finland;ITKuntoon;Kotka;Saramäenkatu 12;+358 45 3914683;lriihimäki@itkuntoon.com;Support Specialist;Asiakastuki;jlipponen;!8q6ux+kD9oF
lsihvonen;Liisa;Sihvonen;LS;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;64493;Finland;ITKuntoon;Kotka;Degermosankuja 3;+358 50 9494224;lsihvonen@itkuntoon.com;Support Specialist;Asiakastuki;alindholm;22A^Ikzm&^7A
periksson;Pia;Eriksson;PE;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;15702;Finland;ITKuntoon;Oulu;Yllästunturinkuja 31;+358 45 6016866;periksson@itkuntoon.com;Scrum Master;Projektinhallinta;anevalainen;%uzvuol*o5R*
tnevalainen;Tuomas;Nevalainen;TN;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;28547;Finland;ITKuntoon;Lahti;Jänkäkatu 12;+358 41 4991818;tnevalainen@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;pojala;f8&Qq%nv9v4o
rkeskinen;Raimo;Keskinen;RK;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;19919;Finland;ITKuntoon;Lahti;Ilveskatu 610;+358 41 4244749;rkeskinen@itkuntoon.com;Järjestelmäasiantuntija;IT-Tuki;hkokkonen;)^gVLbL^C*3T
olaukkanen;Onni;Laukkanen;OL;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;24172;Finland;ITKuntoon;Oulu;Fahlanderin puistotie 91;+358 44 3785660;olaukkanen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;vmustonen;#f1IBa&iKtz1
svaris;Sanna;Varis;SV;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;74867;Finland;ITKuntoon;Kotka;Gneissikuja 0;+358 40 2930411;svaris@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;lliimatainen;+KyNtLmCP7Qy
rjääskeläinen;Ritva;Jääskeläinen;RJ;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;91935;Finland;ITKuntoon;Oulu;Böstaksenpolku 705;+358 44 6819530;rjääskeläinen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;jlipponen;R$Hw)qz3$6ZN
jperälä;Juhani;Perälä;JP;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;15102;Finland;ITKuntoon;Oulu;Vellikellonpolku 5;+358 44 1592371;jperälä@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;hlaaksonen;%O51WQx+EK2Z
eriihimäki;Erik;Riihimäki;ER;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;85533;Finland;ITKuntoon;Oulu;Cygnaeuksenbulevardi 13;+358 41 6149062;eriihimäki@itkuntoon.com;Scrum Master;Projektinhallinta;jlipponen;gHY+kqO8!2XT
opelkonen;Orvokki;Pelkonen;OP;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;52558;Finland;ITKuntoon;Kotka;Ehrensvärdintie 4;+358 44 7461864;opelkonen@itkuntoon.com;Asiakaspalvelija;Asiakastuki;rkeskinen;)azWeojtM2Lt
jjaatinen;Juhani;Jaatinen;JJ;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;87777;Finland;ITKuntoon;Oulu;Waseniuksen puistobulevardi 7;+358 50 4646734;jjaatinen@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;ikorhonen;3393JNIn)FWd
ttervo;Tapani;Tervo;TT;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;96712;Finland;ITKuntoon;Oulu;Uskalikonpolku 079;+358 45 3217522;ttervo@itkuntoon.com;Projektipäällikkö;Projektinhallinta;mmanninen;#7C^NPuhw6SU
kleppänen;Kaarina;Leppänen;KL;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;50357;Finland;ITKuntoon;Lahti;Fredrikinkuja 0;+358 40 7524683;kleppänen@itkuntoon.com;Toimitusjohtaja;Johto;auusitalo;41VC7m7g^5$C
ekinnunen;Esa;Kinnunen;EK;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;07235;Finland;ITKuntoon;Kotka;Rukkilanpolku 919;+358 44 6965868;ekinnunen@itkuntoon.com;Asiakaspalvelija;Asiakastuki;ikoskela;7bGTBXvG(vsu
spasanen;Sanna;Pasanen;SP;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;69331;Finland;ITKuntoon;Kotka;Järkälebulevardi 1;+358 41 8679690;spasanen@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;hkarttunen;@yqYNq$M@8!K
aseppälä;Annikki;Seppälä;AS;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;67778;Finland;ITKuntoon;Kotka;Nervanderinpolku 13;+358 50 7007408;aseppälä@itkuntoon.com;Support Specialist;Asiakastuki;mmiettinen;SjQ7Til1@9cB
khuhtala;Kauko;Huhtala;KH;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;82721;Finland;ITKuntoon;Lahti;Gyldéninkuja 868;+358 40 4143975;khuhtala@itkuntoon.com;Kirjanpitäjä;Taloushallinto;tmäkinen;kuwX7RGjh$&*
imustonen;Irmeli;Mustonen;IM;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;55749;Finland;ITKuntoon;Kotka;Degermosankuja 664;+358 50 8782855;imustonen@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;svaris;)nP8@Gd7*WgO
mliukkonen;Maria;Liukkonen;ML;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;66630;Finland;ITKuntoon;Lahti;Kimalaispolku 13;+358 45 3649906;mliukkonen@itkuntoon.com;Operatiivinen johtaja;Johto;ikorhonen;C4(%0cmY+p6R
ahäkkinen;Annika;Häkkinen;AH;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;51447;Finland;ITKuntoon;Lahti;Uurtajantie 5;+358 44 7273643;ahäkkinen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;rkeskinen;!RX1lwravR6Y
mräisänen;Mia;Räisänen;MR;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;05651;Finland;ITKuntoon;Kotka;Maapadonpolku 55;+358 41 4802768;mräisänen@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;jjaatinen;)W1B+rYU@&#(
jtaipale;Johanna;Taipale;JT;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;01131;Finland;ITKuntoon;Oulu;Ylä-Fallin tie 09;+358 44 4447529;jtaipale@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;rhämäläinen;$4+uR^wzi#Xf
plampinen;Peter;Lampinen;PL;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;97596;Finland;ITKuntoon;Kotka;Veropellonkatu 1;+358 45 8705766;plampinen@itkuntoon.com;Verkkoylläpitäjä;Verkkoylläpito;hniemi;t1HYzG5Q#vzw
hviitanen;Helena;Viitanen;HV;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;65205;Finland;ITKuntoon;Lahti;Fabianinpolku 37;+358 50 4376721;hviitanen@itkuntoon.com;Operatiivinen johtaja;Johto;tkarjalainen;%gu9#oZEiNLB
eniemi;Ella;Niemi;EN;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;10941;Finland;ITKuntoon;Oulu;Maatullintie 80;+358 40 5412143;eniemi@itkuntoon.com;Ohjelmistokehittäjä;Ohjelmistokehitys;aseppälä;(8t#2aTX)bFW
hlahtinen;Helena;Lahtinen;HL;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;93489;Finland;ITKuntoon;Oulu;Runokylänbulevardi 880;+358 44 1480049;hlahtinen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;hkolehmainen;@Wzp5ySq$8ZG
mjuvonen;Matti;Juvonen;MJ;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;95476;Finland;ITKuntoon;Kotka;Vaakalinnuntie 17;+358 50 2299333;mjuvonen@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;khuhtala;n6XYRdIt%31u
slehto;Sisko;Lehto;SL;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;79532;Finland;ITKuntoon;Oulu;Neontie 274;+358 45 2987258;slehto@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;rjääskeläinen;F^(XxuRg%$s2
rhiltunen;Riitta;Hiltunen;RH;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;10273;Finland;ITKuntoon;Kotka;Taavinbulevardi 0;+358 40 9621796;rhiltunen@itkuntoon.com;Asiakaspalvelija;Asiakastuki;lriihimäki;a3+V)BFw%ZjH
rlahti;Riikka;Lahti;RL;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;76404;Finland;ITKuntoon;Lahti;Haakoninlahdenbulevardi 2;+358 44 5538490;rlahti@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;ikorhonen;%7kFI&a3IgKW
jmanninen;Juho;Manninen;JM;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;76354;Finland;ITKuntoon;Lahti;Gyldéninbulevardi 987;+358 45 8974200;jmanninen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;jtaipale;g8f0BrBAwYH!
jpulkkinen;Jari;Pulkkinen;JP;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;77641;Finland;ITKuntoon;Oulu;Nikonpolku 40;+358 45 1688941;jpulkkinen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;eriihimäki;^ozM$Otd1w9Y
shannula;Samuli;Hannula;SH;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;40066;Finland;ITKuntoon;Kotka;Fredrikintie 52;+358 41 2190424;shannula@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;sheikkinen;40up7*$R+YVW
kvainio;Kristiina;Vainio;KV;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;48114;Finland;ITKuntoon;Lahti;Louhikkokuja 55;+358 41 7208347;kvainio@itkuntoon.com;Kirjanpitäjä;Taloushallinto;chuovinen;$7W4S^OoK(v8
jmäättä;Juhani;Määttä;JM;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;05042;Finland;ITKuntoon;Lahti;Ilmattarenkatu 651;+358 50 8566614;jmäättä@itkuntoon.com;Toimitusjohtaja;Johto;hkokkonen;pszmVfnp3)5S
oahonen;Olli;Ahonen;OA;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;13983;Finland;ITKuntoon;Lahti;Maatullinkatu 978;+358 50 8590157;oahonen@itkuntoon.com;Kirjanpitäjä;Taloushallinto;svaris;#zqYyYx@L2Et
avuori;Aleksi;Vuori;AV;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;67047;Finland;ITKuntoon;Lahti;Wavulinintie 4;+358 45 7810373;avuori@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;pojala;_iE%oYNplFS0
mjokinen;Mikael;Jokinen;MJ;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;06525;Finland;ITKuntoon;Lahti;Maatullinbulevardi 842;+358 45 7617400;mjokinen@itkuntoon.com;Talouspäällikkö;Taloushallinto;imäki;@_eY9LGl2YGM
vmoisio;Veli;Moisio;VM;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;17502;Finland;ITKuntoon;Lahti;Gadolininkuja 4;+358 45 5440451;vmoisio@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;jpulkkinen;ar8Q4GFfJ)#c
